Sample_ID,Bag_no,Sample_no_wt,Sample_no_chem,species,site,depth,time,time_int,ww,dw,rb,d15N,d13C,N,C,C.N,notes,prep_notes
SM5_T0_1E,1,1,1,Ecklonia radiata,SM5,10,0,T0,20,4.214,0.92,3.19,-17.00,0.24,33.29,138.04,,
SM5_T0_2E,1,2,2,Ecklonia radiata,SM5,10,0,T0,20,4.469,0.98,3.29,-17.30,0.51,31.91,62.73,,
SM5_T0_3E,1,3,3,Ecklonia radiata,SM5,10,0,T0,20,4.989,1.09,4.05,-17.90,0.57,32.13,56.01,,
SM5_T0_1S,1,4,4,Scytothalia dorycarpa,SM5,10,0,T0,20,5.5127,1.02,2.58,-19.10,0.06,30.78,491.19,,
SM5_T0_2S,1,5,5,Scytothalia dorycarpa,SM5,10,0,T0,20,6.2336,1.15,3.04,-19.37,0.05,30.77,616.76,,
SM5_T0_3S,1,6,6,Scytothalia dorycarpa,SM5,10,0,T0,20,5.455,1.01,2.36,-17.73,0.27,31.44,116.43,,
SM5_T0_4S,1,7,7,Scytothalia dorycarpa,SM5,10,0,T0,20,5.222,0.96,2.78,-17.63,<<0.1,30.03,-,,
SM5_T0_5S,1,8,8,Scytothalia dorycarpa,SM5,10,0,T0,20,5.162,0.95,3.54,-17.98,0.19,31.12,166.10,,
SM5_T0_6S,1,9,9,Scytothalia dorycarpa,SM5,10,0,T0,20,5.096,0.94,3.19,-17.51,0.04,31.58,740.94,,
SM5_T0_7S,1,10,10,Scytothalia dorycarpa,SM5,10,0,T0,20,5.693,1.05,3.09,-17.72,<<0.1,32.90,-,,
SM5_T0_8S,1,11,11,Scytothalia dorycarpa,SM5,10,0,T0,20,5.203,0.96,2.64,-18.01,0.23,32.07,140.25,,
SM5_T0_9S,1,12,12,Scytothalia dorycarpa,SM5,10,0,T0,20,5.363,0.99,1.06,-17.17,0.16,33.17,210.90,,
SM5_T0_10S,1,13,13,Scytothalia dorycarpa,SM5,10,0,T0,20,5.268,0.97,2.57,-17.04,0.28,31.74,112.06,,
S1_T1_1E,13,14,14,Ecklonia radiata,SHALLOW 1,10,14,T1,14,2.755,0.60,4.10,-17.21,0.31,31.61,100.74,,coffee grinder
S1_T1_2E,13,15,15,Ecklonia radiata,SHALLOW 1,10,14,T1,9,1.512,0.33,4.60,-17.73,0.53,30.31,57.71,1 amphipod,coffee grinder
S1_T1_3E,13,16,16,Ecklonia radiata,SHALLOW 1,10,14,T1,14,2.149,0.47,4.71,-17.85,0.65,29.75,45.97,13 amphipods,coffee grinder
S1_T1_4E,13,17,17,Ecklonia radiata,SHALLOW 1,10,14,T1,4,0.395,0.09,4.83,-17.96,0.83,29.87,36.21,12 amphipods,coffee grinder
