Reference,DOI,Species,Site,Season,Depth,Environment,Tissue,Condition,Mesh,Days,Remaining.mean,Remaining.sd,Remaining.sem,Rate.mean,Rate.sd,Repetitions,n,CN.mean,CN.sd,Phenols.mean,Phenols.sd,CNPhenols.t,CNPhenols.n,Source
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,2.051659674,91.83812099,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,2.08135384,96.06196455,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,2.087568898,96.94602483,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,7.082995686,78.94857004,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,7.087139058,79.53794356,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,7.117523786,83.86001604,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,13.98486683,74.99024053,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,14.05244325,56.0312134,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,14.27470556,59.07546433,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,21.05819465,52.56360569,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,21.06233802,53.15297921,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,21.27394594,68.96741252,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,28.10015122,39.96028564,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,28.10705684,40.94257484,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,28.14059842,59.99940809,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,36.97535257,30.98382535,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,37.0889007,32.84975203,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,37.14621734,41.00275238,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,41.89560676,30.86487957,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,41.95913846,39.9019402,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,42.11027288,32.82861238,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,48.96143705,35.94318789,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,48.98383098,24.84289715,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,49.01904965,29.85257206,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,55.94232821,28.93933906,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,56.09415319,21.96424016,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,56.11417949,24.81287884,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,63.00223939,18.88997093,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,63.00983558,19.97048904,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Stipe,Fresh,5,63.02986187,22.81912772,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,1.940479194,76.02326489,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,1.954290433,77.98784329,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,1.995724153,83.88157848,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,6.940443961,72.95702872,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,6.947349581,73.93931792,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,7.082305124,78.85034112,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
