Data_sheet,Entry,Morphology_num,Genetics_Code,Date,Site,Depth_band,Depth_m,Lat_DD,Lon_DD,Quadrat,Bag_No,Quadrat_size,Species,Complete,New_blade_error,Old_blade_error,Stipe_length_cm,New_blade_length_cm,Old_blade_length_cm,X2nd_old_blade_length_cm,Total_blade_length_cm,New_blade_width_cm,Old_blade_width_cm,X2nd_old_blade_width,Blade_thickness_mm,Epiphyte_WW_g,Epiphyte_kelp_WW_g,Stipe_WW_g,Stipe_diameter_mm,Age,Epiphyte_percent_cover,Sporophyll_WW_g,New_blade_WW_g,Old_blade_WW_g,X2nd_old_blade_WW_g,Total_blade_WW_g,Holdfast_WW_g,Total_plant_WW_g,Notes,Reproductive,Location_Campaign,Total_plant_length_cm,Data_Sheet,Total_blade_width_cm,Sample,Stipe_diameter_distal_cm,Blade_thickness_mm_distal,epiphytes_.,Number_of_blades_or_digits,Length_1st_blade,Thallus_ww,Thallus_length,Blade_1_length_solidungula_cm,Num_blades_solidungula,Blade_thickness_distal_mm,Tattering_distal_cm,Blade_epiphyte_cm_distal,Epiphyte_notes,Epiphyte_percent_cover_on_stipe,Individuals,Notes_2,Site_Name,Length_cm_,Width_cm,Area_.5.sqr_,biomass_g_cor,Corrected_depth_m,Genus
1,NA,SB_05_2024_1,SB_05_2024_1,3/05/2024,Ny-Alesund Marina,5,4,78.928318,11.933708,NA,NA,NA,Saccharina latissima,NA,NA,NA,27,38,11,NA,49,20.5,5.5,NA,0.9,0,0,10.3,7.1,3,NA,NA,25.7,1.7,NA,27.4,1,38.7,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
1,NA,SB_05_2024_2,SB_05_2024_2,3/05/2024,Ny-Alesund Marina,5,4,78.928318,12.933708,NA,NA,NA,Saccharina latissima,NA,NA,NA,5.5,67,22.5,NA,89.5,24,6,NA,0.7,0,0,0.6,3.3,2,NA,NA,76.5,3.8,NA,80.3,1.2,82.1,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
1,NA,SB_05_2024_3,SB_05_2024_3,3/05/2024,Ny-Alesund Marina,5,4,78.928318,13.933708,NA,NA,NA,Saccharina latissima,NA,NA,NA,52,34,26,NA,60,34.5,7,NA,1.5,0,0,35.4,10.3,3,NA,NA,83.4,8.5,NA,91.9,0.6,127.9,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
1,NA,SB_05_2024_4,SB_05_2024_4,3/05/2024,Ny-Alesund Marina,5,4,78.928318,14.933708,NA,NA,NA,Saccharina latissima,NA,NA,NA,5,48,5.5,NA,53.5,15.5,2,NA,0.5,1.5,0,0.4,3.1,2,NA,NA,19,0.2,NA,19.2,0.7,20.3,Cladophora on holdphast,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
1,NA,SB_05_2024_5,SB_05_2024_5,3/05/2024,Ny-Alesund Marina,5,4,78.928318,15.933708,NA,NA,NA,Saccharina latissima,NA,NA,NA,2,51.5,6.5,NA,58,14.5,2,NA,0.5,0,0,0.1,2.3,2,NA,NA,19.5,0.2,NA,19.7,0.3,20.1,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
1,NA,SB_05_2024_6,SB_05_2024_6,3/05/2024,Ny-Alesund Marina,5,4,78.928318,16.933708,NA,NA,NA,Saccharina latissima,NA,NA,NA,87,117.5,65.5,NA,183,78,41,NA,2.5,0,0,135.3,16,4,NA,NA,713,172,NA,885,21,1041.3,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
1,NA,SB_05_2024_7,SB_05_2024_7,3/05/2024,Ny-Alesund Marina,5,4,78.928318,17.933708,NA,NA,NA,Saccharina latissima,NA,NA,NA,91,92,42,NA,134,49,24,NA,3.4,6,0,97.2,13.6,4,NA,NA,317,48,NA,365,15.4,477.6,Polysiphonia on holdfast,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
1,NA,SB_05_2024_8,SB_05_2024_8,3/05/2024,Ny-Alesund Marina,5,4,78.928318,18.933708,NA,NA,NA,Saccharina latissima,NA,NA,NA,9.5,70,14,NA,84,25.5,3.5,NA,1.4,0,0,1.5,4.8,2,NA,NA,81.7,2,NA,83.7,1.3,86.5,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
1,NA,SB_05_2024_9,SB_05_2024_9,3/05/2024,Ny-Alesund Marina,5,4,78.928318,19.933708,NA,NA,NA,Saccharina latissima,NA,NA,NA,7,48.5,12,NA,60.5,25.5,4.4,NA,0.8,2.5,0,1.3,4.4,3,NA,NA,53.2,1.6,NA,54.8,3.5,59.6,Cladophora on holdphast,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
1,NA,SB_05_2024_10,SB_05_2024_10,3/05/2024,Ny-Alesund Marina,5,4,78.928318,20.933708,NA,NA,NA,Saccharina latissima,NA,NA,NA,53,19,11.5,NA,30.5,21.5,7,NA,0.8,0,0,22.9,8.3,3,NA,NA,17.1,3.3,NA,20.4,NA,43.3,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
