marineEco,marineRealm,marineProv,EcoNumber,area not corrected,floatingandsinking.area,sinkingonly.area,floatingonly.area,total area.corrected.P.rock,exportF,exportFSD,exportS,exportSSD,exportFS,exportSF.SD,gCF,gCF.SD,gCS,gCS.SD,gCSF,N,NPP,NPP.SD,CRT,CRT.SD,export,exportcombinedSD,gCperm2,gC,NPP TgC,Exported NPP,TgC,,median seq 200 m y,median seq 530m y,Seq fraction 200m 25y,Seq fraction 200m 100y,Seq fraction 500m 25y,Seq fraction 530m 100y,Seq fraction 1000m 100y,TgC 200m 100y,TgC 530m 100y,TgC 1000m 100y,TgC 200m 25y,TgC 500m 25y,,,,,,,,,,,,,,,,,
North and East Iceland,Arctic,Arctic,2,1461,556,112,0,667,23.85,5.79,22.60,11.27,23.22,12.67,158.58,106.30,160.60,91.92,159.59,13042,883.11,463.77,88.77,30.48,22.60,11.27,160.60,1.06635E+11,0.59,18.1,0.10663,,230.8,221.7,0.62,0.58,0.76,0.69,0.83,0.0618,0.0738,0.0889,0.0656,0.0813,,,,,,,,,,,,,,,,,
East Greenland Shelf,Arctic,Arctic,3,6378,347,2565,2,2914,35.17,5.43,31.52,24.61,33.34,25.20,126.82,102.15,119.44,66.40,123.13,38939,387.36,212.67,27.43,37.52,31.74,24.67,119.88,3.49304E+11,1.13,30.9,0.34930,,225.0,221.7,0.52,0.43,0.79,0.67,0.87,0.1506,0.2337,0.3051,0.1802,0.2756,,,,,,,,,,,,,,,,,
West Greenland Shelf,Arctic,Arctic,4,15927,2542,4436,298,7276,27.75,8.20,22.53,15.58,25.14,17.61,89.58,77.52,95.98,68.62,92.78,33958,415.31,242.30,70.20,49.95,23.66,16.09,94.60,6.88338E+11,3.02,22.8,0.68834,,17.3,27.7,0.37,0.31,0.35,0.47,0.39,0.2124,0.3218,0.2705,0.2526,0.2416,,,,,,,,,,,,,,,,,
Northern Grand Banks - Southern Labrador,Arctic,Arctic,5,10491,1060,3707,26,4793,9.10,0.94,8.34,2.65,8.72,2.81,7.01,4.82,7.57,4.44,7.29,10267,91.63,64.62,389.26,61.94,8.43,2.68,7.51,35981358402,0.44,8.2,0.03598,,63.5,221.7,0.16,0.10,0.39,0.25,0.61,0.0035,0.0089,0.0219,0.0058,0.0142,,,,,,,,,,,,,,,,,
Northern Labrador,Arctic,Arctic,6,12874,10,5871,0,5881,17.85,11.35,16.41,13.91,17.13,17.95,46.61,65.04,50.72,60.20,48.67,14293,306.44,216.55,249.20,202.19,16.41,13.92,50.72,2.98314E+11,1.80,16.6,0.29831,,178.8,221.7,0.46,0.26,0.46,0.30,0.66,0.0783,0.0907,0.1976,0.1383,0.1366,,,,,,,,,,,,,,,,,
Baffin Bay - Davis Strait,Arctic,Arctic,7,2872,0,1312,0,1312,18.42,9.35,13.07,12.87,15.74,15.91,23.73,18.95,31.43,15.12,27.58,17988,226.37,113.13,197.77,263.63,13.07,12.87,31.43,41239290719,0.30,13.9,0.04124,,5.8,38.8,0.37,0.24,0.03,0.19,NA,0.0100,0.0077,NA,0.0151,0.0013,,,,,,,,,,,,,,,,,
Hudson Complex,Arctic,Arctic,8,164722,138,74020,1094,75253,1.25,1.28,0.90,1.31,1.08,1.83,1.56,6.51,1.86,6.70,1.71,71060,117.66,165.83,2838.65,809.54,0.90,1.31,1.86,1.39724E+11,8.85,1.6,0.13972,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Lancaster Sound,Arctic,Arctic,9,2347,0,1072,0,1072,13.45,10.36,7.91,10.88,10.68,15.03,23.48,46.95,24.74,47.52,24.11,21889,80.05,146.35,439.04,348.85,7.91,10.88,24.74,26520023890,0.09,30.9,0.02652,,NA,NA,0.18,0.02,0.46,0.04,NA,0.0005,0.0009,NA,0.0048,0.0122,,,,,,,,,,,,,,,,,
Beaufort-Amundsen-Viscount Melville-Queen Maud,Arctic,Arctic,11,26763,0,12227,0,12227,9.89,8.72,5.64,8.14,7.76,11.92,1.05,1.79,1.97,2.13,1.51,49676,68.15,50.96,653.60,484.46,5.64,8.14,1.97,24052254282,0.83,2.9,0.02405,,40.4,221.7,0.20,0.05,0.63,0.42,0.81,0.0013,0.0100,0.0195,0.0048,0.0150,,,,,,,,,,,,,,,,,
Beaufort Sea - continental coast and shelf,Arctic,Arctic,12,49741,0,22724,0,22724,8.74,5.32,8.92,7.31,8.83,9.04,3.88,12.94,3.40,9.40,3.64,28901,44.30,48.95,528.56,252.92,8.92,7.31,3.40,77184773515,1.01,7.7,0.07718,,40.4,221.7,0.43,0.05,0.79,0.49,0.78,0.0036,0.0379,0.0599,0.0329,0.0612,,,,,,,,,,,,,,,,,
Chukchi Sea,Arctic,Arctic,13,59190,0,27041,0,27041,5.34,1.14,5.30,1.21,5.32,1.66,8.52,5.38,8.54,5.38,8.53,30756,146.12,88.06,794.92,205.73,5.30,1.21,8.54,2.30804E+11,3.95,5.8,0.23080,,63.5,221.7,0.42,0.06,0.80,0.45,0.78,0.0128,0.1041,0.1801,0.0961,0.1851,,,,,,,,,,,,,,,,,
Eastern Bering Sea,Arctic,Arctic,14,143757,20467,42939,2269,65675,6.11,3.17,5.58,3.58,5.85,4.78,6.14,8.61,6.80,8.65,6.47,36510,112.06,100.36,781.33,383.31,5.68,3.98,6.67,4.38173E+11,7.36,6.0,0.43817,,28.8,83.1,0.25,0.03,0.80,0.45,0.73,0.0133,0.1989,0.3199,0.1082,0.3503,,,,,,,,,,,,,,,,,
East Siberian Sea,Arctic,Arctic,15,3970,0,1814,0,1814,1.08,0.75,1.06,0.76,1.07,1.07,1.85,1.61,1.85,1.61,1.85,61223,96.58,85.54,3008.61,957.82,1.06,0.76,1.85,3349373076,0.18,1.9,0.00335,,NA,NA,0.57,0.54,0.93,0.58,0.88,0.0018,0.0019,0.0029,0.0019,0.0031,,,,,,,,,,,,,,,,,
Laptev Sea,Arctic,Arctic,16,926,0,423,0,423,2.48,1.44,2.28,1.62,2.38,2.17,7.18,7.21,6.95,6.45,7.06,57548,69.84,44.86,1703.76,479.89,2.28,1.62,6.95,2939399975,0.03,9.9,0.00294,,NA,NA,0.74,0.31,0.93,0.64,0.95,0.0009,0.0019,0.0028,0.0022,0.0027,,,,,,,,,,,,,,,,,
Kara Sea,Arctic,Arctic,17,202108,0,92332,0,92332,5.69,5.35,4.78,5.97,5.23,8.02,5.35,22.14,5.54,21.05,5.44,91771,58.83,93.41,971.48,482.07,4.78,5.97,5.54,5.11189E+11,5.43,9.4,0.51119,,225.0,NA,0.86,0.55,0.99,0.89,1.00,0.2789,0.4555,0.5112,0.4414,0.5066,,,,,,,,,,,,,,,,,
North and East Barents Sea,Arctic,Arctic,18,45617,89,20241,509,20840,15.03,9.48,9.61,10.32,12.32,14.01,7.97,18.39,9.73,18.47,8.85,112017,83.96,72.89,297.55,238.49,9.75,10.32,9.68,2.01759E+11,1.75,11.5,0.20176,,109.6,221.7,0.25,0.17,0.69,0.51,0.35,0.0343,0.1029,0.0710,0.0497,0.1394,,,,,,,,,,,,,,,,,
White Sea,Arctic,Arctic,19,17247,5298,2196,385,7879,3.64,1.36,2.86,2.11,3.25,2.51,0.28,0.65,0.33,0.64,0.30,10656,16.27,29.25,1228.86,306.08,3.16,2.36,0.31,2439663039,0.13,1.9,0.00244,,NA,NA,0.31,0.21,0.70,0.49,NA,0.0005,0.0012,NA,0.0008,0.0017,,,,,,,,,,,,,,,,,
South and West Iceland,Temperate Northern Atlantic,Northern European Seas,20,8213,3534,218,0,3752,22.11,7.28,20.08,11.42,21.09,13.54,126.61,116.23,138.41,107.02,132.51,11953,771.51,494.76,113.81,86.87,20.08,11.42,138.41,4.98484E+11,2.89,17.2,0.49848,,121.2,221.7,0.21,0.20,0.44,0.41,0.74,0.0989,0.2059,0.3669,0.1062,0.2188,,,,,,,,,,,,,,,,,
Faroe Plateau,Temperate Northern Atlantic,Northern European Seas,21,516,188,48,0,236,27.79,5.85,26.99,12.35,27.39,13.66,148.34,88.00,164.20,79.49,156.27,5179,697.65,352.73,62.60,28.48,27.31,13.40,157.88,37212761593,0.16,22.6,0.03721,,132.7,221.7,0.39,0.37,0.69,0.67,0.87,0.0137,0.0248,0.0323,0.0147,0.0258,,,,,,,,,,,,,,,,,
Southern Norway,Temperate Northern Atlantic,Northern European Seas,22,13102,5180,806,0,5986,7.97,3.51,7.44,3.93,7.70,5.27,30.63,23.77,33.00,23.19,31.82,11250,338.30,150.58,617.10,431.95,7.44,3.93,33.00,1.91392E+11,2.02,9.5,0.19139,,5.8,116.4,0.34,0.32,0.59,0.56,0.78,0.0608,0.1069,0.1487,0.0651,0.1138,,,,,,,,,,,,,,,,,
Northern Norway and Finnmark,Temperate Northern Atlantic,Northern European Seas,23,12262,4760,834,8,5602,13.98,5.80,13.47,7.44,13.73,9.43,84.44,62.06,86.44,57.27,85.44,18921,442.56,321.01,251.33,128.76,13.69,9.16,85.59,4.79467E+11,2.48,19.3,0.47947,,17.3,83.1,0.00,0.00,0.06,0.05,0.80,0.0000,0.0223,0.3838,0.0000,0.0295,,,,,,,,,,,,,,,,,
