ID,Treatment,Initial,Hours,Final,Days
1,A,2.668,240,2.335,10
3,A,2.503,117,2.143,4.875
4,A,2.951,283,1.295,11.791666666666666
5,A,2.7,1128,3.327,47
6,A,2.385,768,2.249,32
7,A,2.221,408,1.928,17
8,A,2.668,456,2.285,19
9,A,2.082,240,2.479,10
10,A,2.352,1512,2.245,63
11,A,2.222,768,2.252,32
12,A,2.289,165,2.901,6.875
13,A,2.276,165,2.431,6.875
14,A,2.267,70,2.42,2.9166666666666665
16,A,2.392,768,0.658,32
17,A,2.28,283,2.444,11.791666666666666
18,A,2.66,456,2.263,19
19,A,2.282,1512,2.634,63
20,A,2.665,1272,3.352,53
21,A,2.352,984,2.226,41
22,A,2.285,571,2.499,23.791666666666668
23,A,2.059,70,2.24,2.9166666666666665
24,A,2.235,838,2.499,34.916666666666664
25,A,2.08,1272,2.868,53
27,A,2.28,165,2.178,6.875
28,A,2.293,240,2.316,10
29,A,2.264,667,2.1,27.791666666666668
30,A,2.168,984,2.841,41
31,A,2.201,117,2.37,4.875
32,A,2.2,283,2.46,11.791666666666666
33,A,2.406,571,2.293,23.791666666666668
34,A,2.412,667,2.506,27.791666666666668
35,A,2.435,667,2.497,27.791666666666668
36,A,2.437,1512,3.402,63
37,A,2.09,984,3.286,41
38,A,2.273,571,2.684,23.791666666666668
39,A,2.279,408,2.349,17
40,A,2.28,1128,2.652,47
41,A,2.236,456,2.233,19
42,A,2.277,408,1.983,17
43,A,2.399,838,2.537,34.916666666666664
44,A,2.398,283,2.429,11.791666666666666
45,A,2.427,838,2.58,34.916666666666664
46,D,2.127,165,1.544,6.875
47,D,2.976,984,0,41
48,D,2.293,1272,0,53
49,D,2.797,240,1.23,10
50,D,2.758,984,0,41
51,D,1.77,240,1.036,10
52,D,2.375,768,0,32
53,D,2.158,117,1.692,4.875
54,D,2.051,1128,0,47
55,D,1.741,456,0.463,19
56,D,2.26,1512,0,63
57,D,1.889,165,1.88,6.875
58,D,2.758,1512,0,63
59,D,2.213,667,0.009,27.791666666666668
60,D,2.191,1128,0,47
61,D,2.082,571,0.153,23.791666666666668
62,D,2.867,1512,0,63
63,D,2.143,283,0.735,11.791666666666666
64,D,1.807,456,0.193,19
65,D,2.057,768,0,32
66,D,2.125,667,0.2,27.791666666666668
67,D,1.74,408,0.643,17
68,D,2.14,283,1.355,11.791666666666666
69,D,2.725,456,0.715,19
71,D,2.026,1272,0,53
72,D,2.796,70,1,2.9166666666666665
73,D,2.309,838,0,34.916666666666664
74,D,2.747,571,0.1712,23.791666666666668
75,D,0.84,838,0,34.916666666666664
76,D,2.926,768,0,32
77,D,2.8,667,0.015,27.791666666666668
78,D,2.089,984,0,41
79,D,1.803,240,1.824,10
80,D,2.208,1512,0,63
81,D,2.795,408,1.54,17
82,D,2.7,165,0.293,6.875
83,D,2.486,1512,0,63
84,D,2.025,838,0,34.916666666666664
85,D,2.391,571,0.026,23.791666666666668
86,D,1.182,1272,0,53
87,D,2.493,117,1.69,4.875
88,D,2.707,1128,0,47
89,D,2.377,408,0.192,17
90,D,2.407,70,1.72,2.9166666666666665
