Species,Mass,Treatment,k,alpha,mu,tau
Laminaria digitata,Fresh,Live,0.052 ± 0.042,0.38 ± 0.17,96 ± 45,2.5 ± 0.92
Laminaria digitata,Fresh,Dead,7.7 ± 0.78,-8.6 ± 0.92,88 ± 41,11 ± 1.2
Ecklonia radiata,Dry,Live,1.8 ± 0.29,-1.9 ± 0.58,80 ± 49,4.5 ± 1
Ecklonia radiata,Dry,Dead,11 ± 1.5,-8.8 ± 1.4,103 ± 62,11 ± 1.6
Ecklonia radiata,Fresh,Live,1.4 ± 0.29,-1.2 ± 0.31,71 ± 32,4 ± 0.99
Ecklonia radiata,Fresh,Dead,6.5 ± 1.1,-7.5 ± 1.1,92 ± 43,10 ± 1.4
Amphibolis griffithii,Dry,Live,0.98 ± 0.082,-0.86 ± 0.094,119 ± 65,3.5 ± 0.93
Amphibolis griffithii,Dry,Dead,1.5 ± 0.14,-1.3 ± 0.11,130 ± 78,3.8 ± 0.9
Amphibolis griffithii,Fresh,Live,0.051 ± 0.039,0.18 ± 0.093,101 ± 45,2.6 ± 0.85
Amphibolis griffithii,Fresh,Dead,0.12 ± 0.063,0.075 ± 0.11,93 ± 38,2.8 ± 0.88
