Species,Condition,k,alpha,mu,tau
Alaria esculenta,Live,10 ± 41,-5.3 ± 4.1,182 ± 321,9.4 ± 4.3
Costaria costata,Live,35 ± 280,-7.9 ± 4.4,170 ± 297,12 ± 4.7
Ecklonia radiata,Live,9.3 ± 27,-5.9 ± 3.5,197 ± 363,10 ± 3.8
Ecklonia radiata,Dead,22 ± 23,-8.8 ± 3.8,106 ± 67,12 ± 4
Himantothallus grandifolius,Live,1.7 ± 7.3,-0.006 ± 2,174 ± 328,5.2 ± 2.6
Laminaria digitata,Live,1.4 ± 3.7,-0.061 ± 1.9,123 ± 194,5.6 ± 2.3
Laminaria digitata,Dead,18 ± 21,-8.1 ± 3.7,100 ± 63,12 ± 3.8
Laminaria hyperborea,Live,1 ± 2.6,-0.39 ± 1.5,311 ± 502,4.7 ± 2
Laminaria ochroleuca,Live,2 ± 5.2,0.29 ± 2.2,74 ± 126,6.5 ± 2.4
Laminaria solidungula,Live,8.6 ± 39,-1.9 ± 3.2,141 ± 267,6.9 ± 3.3
Macrocystis pyrifera,Live,1.8 ± 4.4,0.68 ± 3.3,99 ± 161,9.9 ± 3.8
Neoagarum fimbriatum,Live,3.2 ± 11,-0.28 ± 2.5,149 ± 301,5.8 ± 2.8
Nereocystis luetkeana,Live,8 ± 23,-2.6 ± 2.9,89 ± 176,7.4 ± 3
Nereocystis luetkeana,Dead,28 ± 29,-13 ± 6.2,93 ± 58,16 ± 6.3
Saccharina latissima,Live,1.9 ± 4.4,-0.57 ± 1.7,142 ± 226,5.4 ± 2.1
Saccharina latissima,Dead,27 ± 30,-11 ± 5.3,92 ± 59,15 ± 5.4
Saccorhiza polyschides,Live,9.7 ± 39,-4.8 ± 3.4,195 ± 352,8.8 ± 3.7
Undaria pinnatifida,Live,9.8 ± 38,-4.3 ± 3.9,98 ± 177,9.4 ± 3.9
