Species,Condition,k,t0.5,alpha,mu,tau
Unobserved kelps,Live,2 (0.7 ± 1.8),35 (3.5 ± 1.8),-2.6 ± 5.3,74 (4.3 ± 1.1),7 (1.9 ± 0.55)
Unobserved kelps,Dead,17 (2.8 ± 0.84),4.2 (1.4 ± 0.84),-9.8 ± 6.4,82 (4.4 ± 0.55),12 (2.5 ± 0.39)
Alaria esculenta,Live,2.6 (0.94 ± 1.6),27 (3.3 ± 1.6),-5.3 ± 4.1,98 (4.5 ± 1.2),8.7 (2.1 ± 0.45)
Costaria costata,Live,7.8 (2.1 ± 1.6),8.8 (2.2 ± 1.6),-7.9 ± 4.4,93 (4.5 ± 1.1),11 (2.4 ± 0.4)
Ecklonia radiata,Live,3.2 (1.2 ± 1.4),21 (3.1 ± 1.4),-5.9 ± 3.5,112 (4.7 ± 1),9.6 (2.2 ± 0.39)
Ecklonia radiata,Dead,17 (2.8 ± 0.7),4.1 (1.4 ± 0.7),-8.8 ± 3.8,92 (4.5 ± 0.5),12 (2.5 ± 0.27)
Himantothallus grandifolius,Live,0.49 (-0.74 ± 1.6),142 (5 ± 1.6),-0.006 ± 2,96 (4.6 ± 1),4.8 (1.5 ± 0.53)
Laminaria digitata,Live,0.5 (-0.69 ± 1.4),138 (4.9 ± 1.4),-0.061 ± 1.9,75 (4.3 ± 0.94),5.3 (1.6 ± 0.43)
Laminaria digitata,Dead,13 (2.6 ± 0.72),5.3 (1.6 ± 0.72),-8.1 ± 3.7,88 (4.5 ± 0.52),11 (2.4 ± 0.28)
Laminaria hyperborea,Live,0.4 (-0.92 ± 1.4),174 (5.2 ± 1.4),-0.39 ± 1.5,181 (5.2 ± 1),4.5 (1.4 ± 0.47)
Laminaria ochroleuca,Live,0.72 (-0.33 ± 1.4),96 (4.6 ± 1.4),0.29 ± 2.2,42 (3.8 ± 0.96),6.2 (1.8 ± 0.37)
Laminaria solidungula,Live,2.2 (0.77 ± 1.6),32 (3.5 ± 1.6),-1.9 ± 3.2,74 (4.3 ± 1.1),6.4 (1.8 ± 0.48)
Macrocystis pyrifera,Live,0.68 (-0.39 ± 1.4),103 (4.6 ± 1.4),0.68 ± 3.3,59 (4.1 ± 0.93),9.4 (2.2 ± 0.39)
Neoagarum fimbriatum,Live,0.85 (-0.18 ± 1.6),82 (4.4 ± 1.6),-0.28 ± 2.5,80 (4.4 ± 1.1),5.4 (1.6 ± 0.51)
Nereocystis luetkeana,Live,2.8 (1 ± 1.4),25 (3.2 ± 1.4),-2.6 ± 2.9,39 (3.7 ± 1.3),6.9 (1.9 ± 0.41)
Nereocystis luetkeana,Dead,22 (3.1 ± 0.73),3.2 (1.2 ± 0.73),-13 ± 6.2,82 (4.4 ± 0.55),15 (2.7 ± 0.35)
Saccharina latissima,Live,0.71 (-0.34 ± 1.4),97 (4.6 ± 1.4),-0.57 ± 1.7,88 (4.5 ± 0.93),5.1 (1.6 ± 0.44)
Saccharina latissima,Dead,20 (3 ± 0.75),3.5 (1.3 ± 0.75),-11 ± 5.3,81 (4.4 ± 0.55),14 (2.6 ± 0.34)
Saccorhiza polyschides,Live,2.9 (1.1 ± 1.5),24 (3.2 ± 1.5),-4.8 ± 3.4,101 (4.5 ± 1.3),8.2 (2.1 ± 0.42)
Undaria pinnatifida,Live,3 (1.1 ± 1.5),23 (3.1 ± 1.5),-4.3 ± 3.9,51 (3.9 ± 1.1),8.8 (2.2 ± 0.4)
