Experiment,Species,Condition,k,t0.5,alpha,mu,tau
1,Macrocystis pyrifera,Live,2.6 (0.95 ± 0.16),27 (3.3 ± 0.16),-1.2 ± 0.47,105 (4.8 ± 0.61),12 (2.4 ± 0.18)
2,Macrocystis pyrifera,Live,3.7 (1.3 ± 0.17),19 (2.9 ± 0.17),-2.2 ± 0.46,115 (4.9 ± 0.61),13 (2.5 ± 0.16)
3,Himantothallus grandifolius,Live,0.35 (-1.2 ± 0.92),198 (5.5 ± 0.92),0.45 ± 0.74,116 (4.8 ± 0.86),4.6 (1.5 ± 0.47)
4,Himantothallus grandifolius,Live,0.25 (-1.6 ± 1),282 (5.8 ± 1),0.68 ± 0.73,103 (4.7 ± 0.91),4.3 (1.4 ± 0.47)
5,Himantothallus grandifolius,Live,0.21 (-1.7 ± 1),327 (5.9 ± 1),0.74 ± 0.74,105 (4.7 ± 0.91),4.3 (1.4 ± 0.47)
6,Macrocystis pyrifera,Live,5.4 (1.7 ± 0.35),13 (2.5 ± 0.35),-4.1 ± 1.6,53 (4.1 ± 0.79),15 (2.7 ± 0.19)
7,Macrocystis pyrifera,Live,2.9 (1.1 ± 0.33),24 (3.2 ± 0.33),-0.43 ± 1.7,26 (3.2 ± 0.51),11 (2.4 ± 0.22)
8,Macrocystis pyrifera,Live,3 (1.1 ± 0.38),23 (3.2 ± 0.38),-0.86 ± 1.8,26 (3.2 ± 0.58),11 (2.4 ± 0.22)
9,Macrocystis pyrifera,Live,3 (1.1 ± 0.27),23 (3.1 ± 0.27),-0.18 ± 1.6,25 (3.2 ± 0.42),11 (2.4 ± 0.22)
10,Nereocystis luetkeana,Live,6.7 (1.9 ± 0.52),10 (2.3 ± 0.52),-5.7 ± 2.2,19 (3.1 ± 1.3),10 (2.3 ± 0.22)
11,Nereocystis luetkeana,Live,4.4 (1.4 ± 0.56),16 (2.8 ± 0.56),-2.7 ± 1.9,33 (3.5 ± 1.3),7.2 (2 ± 0.31)
12,Nereocystis luetkeana,Live,2.1 (0.71 ± 0.37),33 (3.5 ± 0.37),-0.86 ± 1.6,42 (3.8 ± 1.1),5.4 (1.7 ± 0.35)
13,Nereocystis luetkeana,Live,3.6 (1.3 ± 0.31),19 (3 ± 0.31),-2.1 ± 1.8,30 (3.5 ± 1.2),6.6 (1.9 ± 0.3)
17,Saccharina latissima,Live,2.4 (0.87 ± 0.34),29 (3.4 ± 0.34),-1.1 ± 0.94,75 (4.4 ± 0.94),5.8 (1.7 ± 0.32)
18,Saccharina latissima,Live,0.6 (-0.64 ± 0.71),116 (4.9 ± 0.71),0.19 ± 0.69,96 (4.6 ± 0.82),4.6 (1.5 ± 0.38)
19,Saccharina latissima,Live,0.78 (-0.29 ± 0.43),89 (4.5 ± 0.43),0.06 ± 0.67,103 (4.7 ± 0.78),4.7 (1.5 ± 0.38)
20,Saccharina latissima,Live,0.39 (-1 ± 0.63),176 (5.3 ± 0.63),0.36 ± 0.6,108 (4.8 ± 0.72),4.4 (1.4 ± 0.4)
21,Saccharina latissima,Live,2.3 (0.85 ± 0.36),30 (3.4 ± 0.36),-1 ± 1.1,64 (4.2 ± 0.92),5.7 (1.7 ± 0.32)
22,Saccharina latissima,Live,1.2 (0.14 ± 0.35),59 (4.1 ± 0.35),-0.18 ± 0.72,95 (4.6 ± 0.8),5 (1.5 ± 0.37)
23,Saccharina latissima,Live,1.3 (0.24 ± 0.33),54 (4 ± 0.33),-0.18 ± 0.94,58 (4.2 ± 0.76),4.9 (1.5 ± 0.35)
24,Saccharina latissima,Live,1.6 (0.5 ± 0.32),42 (3.7 ± 0.32),-0.57 ± 0.92,75 (4.4 ± 0.86),5.3 (1.6 ± 0.35)
27,Macrocystis pyrifera,Live,4.2 (1.5 ± 0.84),16 (2.8 ± 0.84),-2.7 ± 3.2,27 (3.5 ± 0.99),13 (2.5 ± 0.28)
28,Macrocystis pyrifera,Live,1 (0.014 ± 0.21),68 (4.2 ± 0.21),-1.4 ± 0.4,152 (5.1 ± 0.58),12 (2.5 ± 0.17)
29,Saccharina latissima,Live,1.9 (0.62 ± 0.23),37 (3.6 ± 0.23),-0.77 ± 0.94,128 (4.7 ± 0.99),5.7 (1.6 ± 0.39)
30,Macrocystis pyrifera,Live,5.3 (1.7 ± 0.18),13 (2.6 ± 0.18),-1.5 ± 1.8,15 (3 ± 0.96),12 (2.5 ± 0.23)
