Reference,DOI,Location,Species,Level,Turnover,Source,Notes
John 1968 in Jupp & Drew 1974 ,10.1016/0022-0981(74)90044-6,"Pettico Wick, St Abbs, Scotland, United Kingdom",Laminaria hyperborea,Forest,0.7,Table 7,calculated as 2.1 kg organic dry mass m^−2 y^−1 (P) / 3 kg organic dry mass m^−2 (B)
John 1968 in Jupp & Drew 1974 ,10.1016/0022-0981(74)90044-6,"Pettico Wick, St Abbs, Scotland, United Kingdom",Laminaria hyperborea,Forest,0.707692308,Table 7,calculated as 0.92 kg organic dry mass m^−2 y^−1 (P) / 1.3 kg organic dry mass m^−2 (B)
Lüning 1969,10.1007/bf00360961,"Helgoland, Germany",Laminaria hyperborea,Forest,0.63963964,Text,calculated as 1.4 kg dry mass m^−2 y^−1 (P) / ( 11.1 kg fresh mass m^−2 * 1.4 kg dry mass / 7.1 kg fresh mass ) (B)
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Laminaria ochroleuca,Forest,0.745869565,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Saccorhiza polyschides,Forest,1.001808511,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Laminaria ochroleuca,Forest,0.790833333,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Saccorhiza polyschides,Forest,1.00375,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Laminaria ochroleuca,Forest,0.73,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Saccorhiza polyschides,Forest,1.00375,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Laminaria ochroleuca,Forest,0.895909091,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Saccorhiza polyschides,Forest,0.9125,Table 3,calculated as P / B
John 1971,10.1007/bf00348025,"Ria de Aldan, Spain",Laminaria ochroleuca,Forest,0.811111111,Table 3,calculated as P / B
